"N","P","K","temperature","humidity","ph","rainfall","label"
"27","37","23","28.09","87.03","6.57","41.2","mungbean"
"33","51","16","28.83","87.63","6.29","50.93","mungbean"
"21","51","19","29.12","87.11","6.51","50.7","mungbean"
"28","51","19","29.91","85.88","6.97","52.82","mungbean"
"12","42","23","27.28","85.17","6.84","59.87","mungbean"
"13","37","16","27.34","87.14","6.79","44.31","mungbean"
"18","59","23","28.19","89.85","7.14","49.31","mungbean"
"14","40","23","27.76","80.64","6.63","45.02","mungbean"
"20","35","25","29.8","87.97","6.82","54.08","mungbean"
"29","46","25","28.95","86.86","6.93","59.28","mungbean"
"34","35","17","28.39","81.55","7.09","52.38","mungbean"
"23","49","22","29.25","87.23","6.81","45.24","mungbean"
"20","40","18","29.21","81.33","6.64","36.12","mungbean"
"17","46","25","29.91","85.72","6.7","45.08","mungbean"
"40","37","24","28.77","88.39","6.83","41.76","mungbean"
"32","41","19","29.09","86.62","7.01","49.24","mungbean"
"35","49","19","28.59","86.66","6.61","51.8","mungbean"
"12","54","22","28.15","84.41","6.92","38.82","mungbean"
"4","35","17","29.13","90","7.17","47.44","mungbean"
"13","35","17","28.93","83.48","6.59","50.96","mungbean"
"20","37","22","27.62","81.7","6.6","58.23","mungbean"
"26","60","19","27.98","87.22","6.84","44.29","mungbean"
"23","48","18","28.72","90","7.16","45.13","mungbean"
"18","42","25","28.86","82.05","6.76","59.87","mungbean"
"17","50","17","27.3","85.42","6.65","57.32","mungbean"
"25","47","18","27.01","90","6.36","45.33","mungbean"
"35","35","20","28.54","89.94","6.22","55.59","mungbean"
"19","45","19","27.85","82.23","6.98","42.19","mungbean"
"22","39","20","27.34","86.5","6.89","59.87","mungbean"
"26","40","21","27.85","87.48","7.2","40.62","mungbean"
"14","50","19","29.75","87.64","7.07","59.87","mungbean"
"19","35","21","27.01","90","6.61","49.33","mungbean"
"27","41","17","28.09","90","7.1","48.39","mungbean"
"30","53","17","28.06","85.51","6.6","37.58","mungbean"
"35","36","15","27.98","85.23","6.91","56.79","mungbean"
"31","58","20","29.06","88.17","6.56","59.87","mungbean"
"38","37","22","28.02","81.51","6.86","49.03","mungbean"
"39","46","21","28.94","87.63","6.36","45.35","mungbean"
"14","43","24","29.27","81.25","6.74","58.22","mungbean"
"17","56","25","27.96","89.34","6.43","48.76","mungbean"
"8","56","15","28.4","82.58","7.07","43.41","mungbean"
"14","53","16","29.1","84.76","6.49","46.79","mungbean"
"38","40","22","27.01","85.92","6.74","48.93","mungbean"
"27","43","20","27.64","86.23","6.58","57.13","mungbean"
"0","43","17","28.32","88.37","7.14","54.43","mungbean"
"6","50","16","28.83","87.07","6.3","47.48","mungbean"
"17","35","21","27.22","81.66","6.97","59.87","mungbean"
"4","43","22","29.51","83.67","6.82","45.6","mungbean"
"1","45","15","28.62","80.04","6.58","47.53","mungbean"
"9","49","25","27.44","84.27","6.85","43.02","mungbean"
"12","46","19","28.82","88.58","6.54","42.21","mungbean"
"8","38","22","28.53","87.43","6.88","48.49","mungbean"
"18","46","24","29.82","85.06","6.68","55","mungbean"
"3","45","19","28.67","88.51","6.65","45.61","mungbean"
"24","39","19","28.83","86.54","6.65","41.44","mungbean"
"11","39","23","29.29","87.85","6.76","48.52","mungbean"
"21","52","23","28.39","85.68","6.7","45.86","mungbean"
"11","45","25","28.68","85.22","6.69","46.02","mungbean"
"24","51","25","27.57","85.69","6.77","42.46","mungbean"
"21","40","17","27.67","86.7","7.2","44.3","mungbean"
"5","48","21","28.18","84.69","6.22","44.06","mungbean"
"24","57","20","28.77","84.41","6.5","36.12","mungbean"
"40","53","18","29.75","81.29","6.8","36.12","mungbean"
"12","54","17","28.23","83.83","6.51","49","mungbean"
"7","35","21","28.08","84.89","6.56","52.73","mungbean"
"22","46","17","29.91","83.49","6.82","47.92","mungbean"
"19","41","19","27.62","86.4","6.71","56.07","mungbean"
"14","49","19","27.47","89.52","7.03","54.38","mungbean"
"31","55","20","28.04","88.27","7.2","43.39","mungbean"
"27","37","24","28.91","80.1","6.65","45.53","mungbean"
"19","47","17","29.21","80.03","6.75","53.47","mungbean"
"19","48","19","28.83","85.67","6.65","53.85","mungbean"
"15","46","16","29.12","85.06","6.22","55.87","mungbean"
"22","46","20","27.11","85.79","6.94","48.33","mungbean"
"5","35","22","28.43","89.48","7.12","36.12","mungbean"
"0","46","22","27.53","86.57","6.82","48.09","mungbean"
"23","56","23","29.53","83.23","6.93","54.8","mungbean"
"33","58","22","27.01","88.09","6.78","42.45","mungbean"
"35","43","19","28.55","87.18","6.73","44.13","mungbean"
"6","43","21","28.7","86.78","6.96","56.09","mungbean"
"33","39","24","27.64","85.64","7","44.5","mungbean"
"8","50","18","27.69","86.4","7.03","49.63","mungbean"
"29","56","17","28.34","80.2","6.64","43","mungbean"
"26","56","25","29.87","86.95","6.86","50.32","mungbean"
"30","48","25","28.36","88.34","7.2","39.33","mungbean"
"39","52","20","29.31","83.88","6.8","52.32","mungbean"
"9","50","15","29.2","80.03","6.96","59.87","mungbean"
"23","57","22","29.28","84.99","6.84","41.92","mungbean"
"22","46","18","27.01","83.64","6.95","36.26","mungbean"
"18","36","21","29.01","84.76","6.41","36.12","mungbean"
"27","48","19","27.36","81.74","6.68","56.67","mungbean"
"1","59","21","27.55","88.83","6.54","51.34","mungbean"
"33","51","17","29.91","82.41","6.76","55.54","mungbean"
"22","35","23","28.65","89.37","6.53","40.93","mungbean"
"7","35","16","28.25","86.53","7.06","39.43","mungbean"
"10","53","17","29.91","82.39","6.48","52.82","mungbean"
"27","48","25","28.62","81.29","6.94","46.62","mungbean"
"21","43","17","27.46","82.06","7.04","36.12","mungbean"
"25","51","15","29.56","84.5","6.59","51.21","mungbean"
"36","56","20","28.34","87.75","6.65","41.99","mungbean"
"16","35","15","27.89","90","6.69","46.59","mungbean"
"0","46","16","28.55","90","6.81","53.36","mungbean"
"11","56","18","28.69","85.32","6.77","54.31","mungbean"
"32","54","20","27.59","84.87","6.49","54.45","mungbean"
"9","53","25","29.75","86.65","6.85","46.57","mungbean"
"21","46","25","29.7","89.09","6.47","48.26","mungbean"
"34","44","20","28.18","88.3","6.68","48.87","mungbean"
"36","54","25","27.01","81.76","6.84","39.24","mungbean"
"1","43","17","28.33","84.33","7.06","49.29","mungbean"
"11","46","16","29.11","89.53","7","46.38","mungbean"
"21","54","23","27.01","83.73","6.65","57.1","mungbean"
"23","37","21","28.09","90","6.22","43.1","mungbean"
"33","59","18","29.7","83.74","6.48","44.64","mungbean"
"9","57","15","29.15","87.36","6.22","49.77","mungbean"
"29","40","25","28.84","86.81","6.62","48.39","mungbean"
"21","38","17","29.16","80.74","6.51","45.7","mungbean"
"35","52","19","27.78","87.37","6.77","49.04","mungbean"
"14","52","22","27.21","81.6","6.39","52.89","mungbean"
"20","35","22","28.56","86.48","6.32","47.72","mungbean"
"22","51","16","29.39","84.38","6.4","57.1","mungbean"
"12","35","22","27.26","82.74","7.02","43.97","mungbean"
"25","35","19","28.17","80.03","7.08","59.87","mungbean"
"7","57","19","29.18","85.45","6.75","53.84","mungbean"
"40","39","25","27.42","85.3","6.86","48.04","mungbean"
"13","60","21","29.62","85.48","6.86","55.64","mungbean"
"27","48","22","28.24","86.45","6.51","49.18","mungbean"
"8","35","16","27.28","85.04","6.83","48.78","mungbean"
"22","51","25","29.08","84.11","6.71","51.78","mungbean"
"0","35","16","28.89","90","6.7","38.48","mungbean"
"16","56","17","28.23","83.98","6.86","52.16","mungbean"
"5","49","20","29.91","84.16","6.53","39.09","mungbean"
"16","41","20","27.34","86.89","6.81","52.72","mungbean"
"5","52","17","27.01","82.26","6.53","40.7","mungbean"
"20","37","18","28.84","87.76","7.04","39.09","mungbean"
"17","38","15","29.91","88.13","6.22","44.19","mungbean"
"16","37","18","28.99","85.94","6.65","56.25","mungbean"
"31","43","22","28.62","83.67","6.47","50.86","mungbean"
"30","39","17","27.88","86.18","6.44","49.31","mungbean"
"31","41","16","29","84.15","7.2","47.06","mungbean"
"18","35","18","29.91","88.84","6.81","47.02","mungbean"
"12","35","16","28.44","83.76","6.44","38.42","mungbean"
"11","44","18","28.94","86.25","7.03","38.02","mungbean"
"15","41","24","29.36","87.33","6.95","58.14","mungbean"
"13","35","22","27.06","85.42","6.68","54.03","mungbean"
"31","60","25","28.23","87.73","6.22","47.51","mungbean"
"13","44","15","27.91","84.56","7.2","44.32","mungbean"
"1","54","19","29.91","81.94","6.57","50.58","mungbean"
"12","46","17","28.84","82.06","6.65","51.53","mungbean"
"31","47","15","29.02","84.57","6.26","43.15","mungbean"
"29","44","17","28.46","88.84","6.61","50.27","mungbean"
"33","37","18","28.49","90","6.31","52.25","mungbean"
"0","44","19","28.82","84.09","6.65","48.56","mungbean"
"13","43","24","28.2","90","6.98","41.79","mungbean"
"5","57","18","29.61","88.34","7.11","54.77","mungbean"
"24","54","22","29.46","83.01","6.3","47.94","mungbean"
"26","41","18","28.24","90","6.51","52.74","mungbean"
"22","43","20","28.35","87.51","6.39","51.87","mungbean"
"28","45","25","29.23","81.5","7.2","51.06","mungbean"
"25","45","18","27.8","83.41","6.37","44.64","mungbean"
"34","54","20","29.28","84.2","6.79","43.42","mungbean"
"16","58","21","29.05","82.74","6.56","39.57","mungbean"
"7","47","20","29.41","86.27","6.66","46.03","mungbean"
"18","46","18","27.81","87.21","6.42","42.88","mungbean"
"40","51","19","28.26","80.08","6.78","48.95","mungbean"
"17","40","20","28.47","84.82","7.02","52.17","mungbean"
"25","46","17","27.33","82.67","6.56","55.27","mungbean"
"14","50","18","29.54","88.29","6.7","47.46","mungbean"
"23","49","18","29.44","86.19","6.75","47.84","mungbean"
"21","60","21","29.91","83.87","6.22","42.28","mungbean"
"18","35","23","28.97","90","6.22","55.17","mungbean"
"33","45","18","29.75","81.72","6.74","58.81","mungbean"
"24","47","17","28.44","87.21","6.82","53.4","mungbean"
"21","56","17","29.57","88.37","6.69","45.3","mungbean"
"26","59","21","28.46","90","6.64","46.74","mungbean"
"30","48","23","27.14","85.34","6.54","52.44","mungbean"
"40","47","21","28.65","88.66","6.95","36.12","mungbean"
"19","47","16","29.91","86.06","7.11","44.77","mungbean"
"29","53","18","28.45","90","6.63","44.25","mungbean"
"20","47","19","29.34","90","6.7","49.56","mungbean"
"4","44","15","29.36","87.64","6.43","48.03","mungbean"
"5","48","22","29.13","84.74","6.54","40.36","mungbean"
"28","40","15","29.91","88.68","6.75","46.02","mungbean"
"40","46","21","28.67","86.48","6.22","43.84","mungbean"
"26","35","18","29.83","83.13","6.3","47.94","mungbean"
"21","58","24","29.73","90","6.78","46.09","mungbean"
"35","52","17","29.63","80.68","6.72","50.61","mungbean"
"8","40","23","27.01","88.82","6.94","58.92","mungbean"
"10","43","23","27.4","88.97","6.5","56.49","mungbean"
"40","38","19","27.7","86.91","6.58","59.48","mungbean"
"20","60","17","28.22","86.03","7.05","58.15","mungbean"
"17","44","19","27.38","90","6.93","59.72","mungbean"
"4","50","18","28.01","89.03","6.85","55.83","mungbean"
"24","49","25","27.71","87.17","6.87","45.35","mungbean"
"12","55","17","28.24","87.47","6.37","53.31","mungbean"
"18","54","19","27.8","82.79","6.62","47.25","mungbean"
"36","60","23","28.32","82.64","7.09","59.87","mungbean"
"13","45","25","28.32","88.49","6.9","43.35","mungbean"
"17","43","17","29.87","90","6.77","53.44","mungbean"
"11","49","17","29.36","82.01","6.58","47.62","mungbean"
"38","48","21","28.87","89.52","6.48","41.2","mungbean"
"33","60","17","28.03","85.91","6.59","41.22","mungbean"
"28","45","24","28.09","85.84","6.61","36.92","mungbean"
"17","44","23","27.48","82.63","6.25","48.33","mungbean"
"30","51","20","27.7","86.58","6.68","59.87","mungbean"
"4","36","23","28.08","82.71","6.53","49.27","mungbean"
"31","53","21","28.54","84.67","6.29","44.73","mungbean"
"17","45","25","28.84","86.38","6.99","43.6","mungbean"
"10","36","18","28.84","90","6.33","44.12","mungbean"
"4","40","21","29.46","90","6.69","52.5","mungbean"
"40","38","20","28.89","83.83","6.45","43.17","mungbean"
"9","39","23","29.91","84.56","6.71","49.61","mungbean"
"22","53","21","27.47","84.78","6.96","50.78","mungbean"
"16","39","19","29.71","90","6.22","56.07","mungbean"
"11","35","20","28.89","83.54","6.58","48.48","mungbean"
"10","42","18","29.78","85.82","6.22","43.59","mungbean"
"20","51","19","29.02","84.69","7.01","42.64","mungbean"
"13","39","20","27.85","86.96","6.3","36.91","mungbean"
"5","37","25","28.18","85.89","6.22","45.06","mungbean"
"21","51","23","27.63","84.89","6.33","52.71","mungbean"
"19","43","22","27.56","81.53","6.41","42.26","mungbean"
"12","35","18","27.26","87.75","6.78","52.17","mungbean"
"17","45","20","27.64","80.03","6.83","49.57","mungbean"
"10","50","18","29.21","88.59","6.61","40.88","mungbean"
"15","55","24","29.03","86.47","7.18","50.73","mungbean"
"28","37","15","29.37","82.69","6.24","45.02","mungbean"
"11","51","17","28.37","83.62","6.86","55.73","mungbean"
"11","41","20","29.04","82.62","6.22","42.92","mungbean"
"12","40","19","29.54","83.26","6.77","54.82","mungbean"
"35","52","22","27.43","82.99","6.52","36.12","mungbean"
"23","44","21","28.11","82.05","7.11","52.36","mungbean"
"32","43","20","29","80.54","6.64","49.28","mungbean"
"29","56","25","27.83","83.61","6.68","46.33","mungbean"
"38","37","15","27.06","90","7.1","37.15","mungbean"
"40","41","22","27.01","80.55","6.22","52.02","mungbean"
"28","46","25","29.58","88.52","7.09","59.87","mungbean"
"19","57","16","28.19","87.59","7.2","57.02","mungbean"
"17","53","25","29.91","81.88","6.82","53.9","mungbean"
"12","53","18","29.3","83.88","6.34","54.07","mungbean"
"35","54","18","28.9","85.23","6.31","46.95","mungbean"
"22","52","22","28.47","83.06","6.47","54.27","mungbean"
"12","51","21","28.39","88.55","6.98","54.69","mungbean"
"40","46","22","28.97","81.59","6.84","59.87","mungbean"
"22","47","17","29.12","81.19","6.91","55.31","mungbean"
"33","35","19","29.36","88.96","7.2","42.53","mungbean"
"19","57","22","28.57","90","6.95","58.98","mungbean"
"8","53","18","29.07","88.6","6.79","58.63","mungbean"
"32","35","25","28.68","84.39","6.77","41.57","mungbean"
"20","44","21","28.96","80.03","7.2","43.11","mungbean"
"21","54","16","27.75","85.01","7.2","52.57","mungbean"
"29","52","21","29.48","85.29","6.67","59.87","mungbean"
"40","44","17","28.63","85.51","6.67","47.67","mungbean"
"40","46","18","28.35","82.47","6.65","53.18","mungbean"
"12","50","23","29.16","84.91","6.54","54.73","mungbean"
"24","53","19","27.76","89.08","6.49","48","mungbean"
"21","55","25","29.91","85.29","6.6","45.53","mungbean"
"21","45","22","28.56","86","6.34","41.46","mungbean"
"37","52","21","27.71","89.71","6.38","53.71","mungbean"
"23","50","18","29.34","86.96","7.03","52.55","mungbean"
"10","43","23","28.22","83.3","6.82","53.53","mungbean"
"5","36","17","28.12","81.23","6.4","59.87","mungbean"
"11","60","18","29.74","87.4","6.48","47.16","mungbean"
"29","40","22","27.01","82.54","6.86","47.5","mungbean"
"19","42","18","29.06","85.41","6.71","49.36","mungbean"
"15","58","24","28.56","90","7.04","40.02","mungbean"
"15","59","19","27.65","82.46","6.9","59.05","mungbean"
"20","51","23","29.46","84.87","6.71","51.28","mungbean"
"32","60","20","27.06","85.08","6.83","39.89","mungbean"
"25","57","23","29.2","84.09","6.36","59.87","mungbean"
"28","38","23","28.81","84","6.22","39.65","mungbean"
"20","51","20","27.81","84.29","7.12","51.13","mungbean"
"23","52","22","28.56","90","6.52","44.15","mungbean"
"8","42","15","28.28","85.29","6.42","56.9","mungbean"
"22","39","18","28.82","85.4","6.74","36.41","mungbean"
"13","53","24","28.12","86.2","6.59","52.09","mungbean"
"27","43","19","29.66","84.83","6.65","39.29","mungbean"
"10","49","22","27.8","86.24","6.29","36.12","mungbean"
"9","38","19","29.58","87.49","6.62","39.36","mungbean"
"27","37","20","28.07","86.02","6.57","44.76","mungbean"
"18","60","22","28.12","85.6","7.2","48.79","mungbean"
"26","54","23","29.18","87.27","6.5","40.34","mungbean"
"20","45","21","29.42","83.31","6.49","39.93","mungbean"
"27","50","19","28.36","88.51","6.61","37.18","mungbean"
"9","53","20","27.73","84.83","6.48","49.58","mungbean"
"21","46","15","27.72","87.58","6.7","59.87","mungbean"
"23","54","18","29.5","87.33","7.02","36.12","mungbean"
"40","58","19","29.56","83.9","6.92","49.73","mungbean"
"25","49","19","28.15","88.05","6.27","38.84","mungbean"
"27","50","16","29.19","87.92","6.55","46.94","mungbean"
"27","52","20","27.08","85.79","6.55","53.95","mungbean"
"27","52","21","29.45","84.1","6.89","59.87","mungbean"
"20","56","22","28.4","80.26","6.37","48.78","mungbean"
"9","48","15","28.02","87.39","6.36","44.41","mungbean"
"13","59","17","28.58","89.93","6.29","50.86","mungbean"
"26","36","21","28.08","83.56","6.92","51.6","mungbean"
"40","48","20","27.6","84.61","6.32","59.22","mungbean"
"26","35","23","28.22","84.12","6.76","48.6","mungbean"
"19","41","15","29.22","88.38","6.4","48.54","mungbean"
"25","35","23","28.89","84.81","6.65","52.04","mungbean"
"40","51","25","28.52","80.03","6.22","58.45","mungbean"
"12","41","15","29.91","89.14","6.45","50.35","mungbean"
"34","44","16","28.75","86.24","7.06","50.75","mungbean"
"29","47","23","29.65","85.17","6.86","45.29","mungbean"
"10","49","20","28.98","85.37","6.72","44.84","mungbean"
"0","50","22","29.91","81.54","6.71","38.57","mungbean"
"0","40","19","28.31","86.39","7.15","40.6","mungbean"
"17","57","20","28.97","84.97","6.94","59.87","mungbean"
"12","49","19","27.46","85.41","6.44","44.46","mungbean"
"10","52","19","27.77","87.32","6.8","50.79","mungbean"
"36","52","17","29.63","88.61","6.75","41.2","mungbean"
"25","60","16","27.01","86.99","7.06","43.7","mungbean"
"37","54","16","28.66","86.65","6.22","59.87","mungbean"
"31","40","23","29.47","86.76","7.11","38.8","mungbean"
"19","51","21","28.74","86.72","6.91","47.49","mungbean"
"16","45","22","28.36","85.03","6.81","43.86","mungbean"
"27","41","22","28.59","88.18","6.44","51.24","mungbean"
"23","56","19","28.9","87.92","7","43.76","mungbean"
"38","36","19","29.58","85.21","6.72","37.67","mungbean"
"3","49","21","28.76","87.79","7.03","46.54","mungbean"
"19","45","20","28.39","83.8","6.98","53.77","mungbean"
"33","42","19","28.43","84.17","6.73","47.82","mungbean"
"3","57","25","29.52","86.23","7.04","44.18","mungbean"
"27","49","23","28.86","84.1","6.74","49.66","mungbean"
"38","45","22","28.97","80.04","6.92","54.94","mungbean"
"26","35","18","28.52","82.24","6.79","38.92","mungbean"
"14","35","16","29.38","83.92","6.4","36.12","mungbean"
"19","48","23","28.93","85.63","6.99","49.19","mungbean"
"23","57","20","29.11","80.37","6.79","59.87","mungbean"
"40","60","19","29.07","87.7","6.68","47.62","mungbean"
"29","35","15","29","84.54","7.13","43.52","mungbean"
"17","44","22","28.76","84.44","6.53","52.07","mungbean"
"16","47","17","28.35","84.96","6.63","51.25","mungbean"
"0","54","17","29.27","84.63","7.2","39.1","mungbean"
"37","38","18","28.84","86.57","6.6","41.01","mungbean"
"40","47","19","29.65","85.27","6.53","55.38","mungbean"
"0","50","19","28.56","85.83","6.55","46.05","mungbean"
"22","53","22","28.6","90","6.54","41.03","mungbean"
"32","35","16","27.97","83.86","6.64","55.38","mungbean"
"18","39","22","27.97","88.12","7.2","56.87","mungbean"
"40","36","21","28.09","84.89","6.42","36.12","mungbean"
"24","50","18","29.06","89.86","6.64","59.87","mungbean"
"4","60","19","28.08","86.38","6.81","59.87","mungbean"
"1","45","19","27.36","81.3","6.54","38.11","mungbean"
"21","54","18","27.8","84.89","6.66","52.39","mungbean"
"22","47","21","27.72","88.61","6.41","46.73","mungbean"
"10","51","19","28.24","87.04","6.48","51.19","mungbean"
"27","45","23","28.6","80.03","7.01","56.44","mungbean"
"0","43","23","27.54","82.09","6.84","44.27","mungbean"
"20","60","24","28.9","81.57","6.57","49.86","mungbean"
"17","51","21","27.01","80.03","7.14","38.67","mungbean"
"34","44","18","28.47","85.77","6.46","37.65","mungbean"
"8","41","20","28.66","82.56","6.88","46.89","mungbean"
"28","56","16","28.59","83.75","6.97","42.47","mungbean"
"28","41","25","29.91","84.39","6.57","45.84","mungbean"
"27","57","19","27.25","85.43","6.95","36.12","mungbean"
"29","51","20","28.67","87.34","7.14","46.38","mungbean"
"11","51","20","29.14","89.46","6.56","46.18","mungbean"
"14","48","20","28.62","89.14","6.61","50.5","mungbean"
"31","39","17","28.48","83.81","6.49","54.53","mungbean"
"24","49","22","29.24","89.6","6.26","54.22","mungbean"
"13","60","21","27.8","83.16","6.43","39.57","mungbean"
"18","44","21","27.33","87.56","6.22","38.1","mungbean"
"30","42","19","27.99","87.35","6.7","50.25","mungbean"
"20","49","21","29.26","86.11","6.38","50.49","mungbean"
"12","55","15","29.54","88.1","6.69","43.6","mungbean"
"32","46","16","28.63","83.86","6.81","52.03","mungbean"
"26","50","19","28.04","86.77","6.9","53.02","mungbean"
"34","60","19","28.34","82.63","6.9","36.12","mungbean"
"3","50","19","29.54","87.02","7.2","40.06","mungbean"
"27","47","22","27.74","84.51","6.45","43.36","mungbean"
"18","41","18","28.42","86.65","7.2","50.45","mungbean"
"17","38","25","27.69","87.8","6.54","44.87","mungbean"
"13","48","22","28.39","82.86","7.03","48.75","mungbean"
"30","43","21","28.92","87.61","6.69","57.36","mungbean"
"29","59","18","29.91","86.71","6.43","36.12","mungbean"
"17","42","19","28.22","83.01","6.8","50.91","mungbean"
"19","58","24","29.11","85.17","6.32","45.41","mungbean"
"26","35","15","27.67","90","6.31","45.16","mungbean"
"18","40","22","28.47","90","6.25","57.41","mungbean"
"19","35","17","28.65","85.98","7.05","47.64","mungbean"
"33","45","20","29.53","84.29","7.04","36.12","mungbean"
"2","57","16","29.61","87.85","6.72","36.82","mungbean"
"8","60","19","28.85","85.36","6.75","52.26","mungbean"
"12","45","21","28.73","90","7.2","45.09","mungbean"
"40","54","19","27.88","82.23","6.87","44.45","mungbean"
"20","46","23","28.04","84.23","7.2","50.12","mungbean"
"22","41","21","28.58","88.47","6.43","54.57","mungbean"
"5","39","18","27.42","86.04","6.33","53.2","mungbean"
"27","35","19","28.08","85.9","7.12","53.75","mungbean"
"9","42","18","28.41","88.88","6.81","38.6","mungbean"
"2","60","21","29.56","80.03","6.6","43.2","mungbean"
"27","41","21","28.53","85.87","6.67","53.04","mungbean"
"14","60","23","28.88","88.59","6.39","36.12","mungbean"
"14","39","18","29.24","87.54","6.52","43.13","mungbean"
"13","44","20","28.89","86.23","6.63","43.53","mungbean"
"35","58","17","27.35","85.67","6.62","45.58","mungbean"
"19","43","20","27.83","89.27","6.81","36.51","mungbean"
"31","39","20","29.75","80.03","7.03","47.08","mungbean"
"25","39","21","29.54","85.34","7.07","37.16","mungbean"
"32","49","19","28.2","86.39","6.99","41.49","mungbean"
"22","60","15","29.38","90","6.7","46.23","mungbean"
"12","40","17","27.17","84.19","7.14","49.79","mungbean"
"34","54","15","29.17","85.76","7.18","54.64","mungbean"
"9","51","23","28.26","87.16","6.55","52.05","mungbean"
"23","35","16","27.58","85.54","6.54","41.28","mungbean"
"38","55","25","28.99","85.97","6.71","42.61","mungbean"
"21","44","16","28.38","85.59","7.17","44.64","mungbean"
"33","52","22","28.8","87.35","6.52","40.07","mungbean"
"5","45","21","27.87","87.42","6.57","45.71","mungbean"
"32","41","15","27.98","90","7.2","47.87","mungbean"
"22","49","24","28.35","85.51","6.61","39.89","mungbean"
"0","54","21","28.61","87.41","6.71","51.58","mungbean"
"14","52","19","28.64","90","6.99","51.74","mungbean"
"27","44","21","27.73","86.27","6.81","49.93","mungbean"
"5","35","20","29.19","83.64","6.49","55.49","mungbean"
"0","52","23","28.44","83.73","6.94","53.12","mungbean"
"12","40","23","28.35","86.57","6.45","41.85","mungbean"
"38","45","23","28.28","86.52","6.22","50.42","mungbean"
"2","53","18","29.33","86.29","7.2","51.38","mungbean"
"32","40","18","27.65","83.01","6.93","48.18","mungbean"
"25","51","21","29.39","87.2","6.77","45.93","mungbean"
"12","35","16","29.37","86.62","6.36","46.88","mungbean"
"31","40","17","28.75","80.03","6.49","44.51","mungbean"
"20","47","20","28.01","83.49","6.94","43.23","mungbean"
"31","56","20","27.97","88.82","6.55","36.12","mungbean"
"22","53","19","27.4","82.25","6.97","43.19","mungbean"
"26","46","24","28.17","82.53","6.78","53.02","mungbean"
"11","54","18","28.62","83.41","6.9","47.91","mungbean"
"35","39","19","27.24","85.8","7.2","47.69","mungbean"
"13","39","15","28.49","85.44","6.32","52.99","mungbean"
"20","45","17","27.43","83.75","6.6","45.74","mungbean"
"18","57","24","28.07","84.06","6.22","39.74","mungbean"
"35","49","15","27.81","85.68","6.27","48.79","mungbean"
"20","51","16","28.92","83.46","6.81","51.74","mungbean"
"28","53","15","28.44","85.92","6.86","41.83","mungbean"
"12","49","19","28.68","82.24","7.2","49.78","mungbean"
"9","41","20","27.58","84","6.82","54.05","mungbean"
"22","35","19","28.26","84.62","6.68","50.83","mungbean"
"26","48","20","29.91","89.79","6.73","42.1","mungbean"
"27","35","16","28.46","80.03","6.58","59.87","mungbean"
"15","55","23","29.14","80.03","6.24","43.34","mungbean"
"14","53","19","27.14","84.68","6.24","59.87","mungbean"
"18","46","22","28.85","85.86","6.58","45.77","mungbean"
"21","47","19","27.73","83.86","6.67","54.08","mungbean"
"0","42","21","27.43","83.18","6.58","51.55","mungbean"
"20","57","19","29.07","88.32","6.71","45.1","mungbean"
"36","40","16","29.02","82.84","6.81","43.52","mungbean"
"25","47","22","28.74","86.6","6.43","54.71","mungbean"
"28","38","16","27.09","85.28","6.67","45.67","mungbean"
"24","41","17","28.7","86.88","6.29","43.52","mungbean"
"9","42","17","28.79","87.37","6.92","45.42","mungbean"
"17","37","25","28.33","87.94","6.96","45.06","mungbean"
"5","35","24","28.71","87.7","6.62","42.43","mungbean"
"14","44","20","28.62","85.1","6.5","50.8","mungbean"
"12","49","23","29.45","88.87","6.29","56.78","mungbean"
"32","40","19","27.83","85.27","6.62","51.95","mungbean"
"18","49","25","27.26","85.69","6.46","49.56","mungbean"
"7","50","21","27.9","88.3","7.07","47.9","mungbean"
"11","48","21","29.72","82.06","6.81","46.07","mungbean"
"31","52","18","28.87","88.93","6.33","53.66","mungbean"
"30","55","19","29.09","87.9","7","59.3","mungbean"
"40","40","20","27.77","84.93","6.85","47.26","mungbean"
"21","51","18","28.41","84.01","7.13","51.34","mungbean"
"19","36","25","27.53","85.18","6.87","50.44","mungbean"
"5","38","21","28.65","84.91","6.58","37.44","mungbean"
"12","42","18","29.04","85.36","7.2","46.55","mungbean"
"37","38","17","28.42","82.36","6.31","59.87","mungbean"
"18","56","20","28.17","85.88","6.72","53.44","mungbean"
"28","51","25","29.91","89.49","6.82","54.77","mungbean"
"0","56","19","27.88","87.94","6.95","51.03","mungbean"
"9","53","19","28.28","87.52","6.48","55.05","mungbean"
"38","59","19","28.93","86.67","7.06","46.35","mungbean"
"23","47","22","28.75","84.47","6.68","39.87","mungbean"
"28","49","24","27.72","83.53","7.16","57.67","mungbean"
"18","35","17","28.17","83.6","6.85","47.88","mungbean"
"29","46","19","28.22","82.03","6.73","45.91","mungbean"
"1","36","20","29.31","83.88","7.18","49.44","mungbean"
"4","35","19","28.2","82.93","6.41","55.91","mungbean"
"9","36","19","29.85","83.96","7.06","58.67","mungbean"
"10","57","20","27.77","83.47","6.39","47.15","mungbean"
"7","38","20","28.88","82.79","6.48","38.64","mungbean"
"0","47","18","29.05","87.11","6.3","39.91","mungbean"
"17","45","16","28.98","89.52","6.6","40.37","mungbean"
"40","41","22","27.88","90","6.22","51.29","mungbean"
"30","38","19","27.9","83.93","6.57","51.37","mungbean"
"40","44","18","28.25","86.67","6.48","58.52","mungbean"
